Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Begin File	Call Type	Call ID	Before Noise (s)	After Noise (s)	Notes
1	1	1	231.651000000	232.158000000	11.8	25.6		NOPP6_EST_20090415_070000.aif	f20p		8.0	2.6	
2	1	1	246.759000000	247.603000000	15.4	23.7		NOPP6_EST_20090415_070000.aif	f20p		4.52	2.66	
3	1	1	261.993500000	262.917500000	16.2	22.7		NOPP6_EST_20090415_070000.aif	f20p		4.49	2.92	
4	1	1	531.310000000	531.747000000	10.0	29.7		NOPP6_EST_20090415_070000.aif	f20p		8.0	2.63	
5	1	1	546.718500000	547.218500000	10.0	28.0		NOPP6_EST_20090415_070000.aif	f20p		5.07	2.61	
6	1	1	561.986000000	562.487500000	10.0	27.9		NOPP6_EST_20090415_070000.aif	f20p		4.86	1.81	
7	1	1	577.282000000	577.830000000	10.0	27.4		NOPP6_EST_20090415_070000.aif	f20p		4.1	2.41	
8	1	1	592.612500000	593.263000000	15.4	26.1		NOPP6_EST_20090415_070000.aif	f20p		4.71	2.25	
9	1	1	607.890500000	608.548000000	15.2	25.9		NOPP6_EST_20090415_070000.aif	f20p		5.0	2.3	
10	1	1	639.359500000	639.773000000	10.0	26.6		NOPP6_EST_20090415_070000.aif	f20p		8.0	2.7	
11	1	1	654.156500000	654.552500000	10.0	27.8		NOPP6_EST_20090415_070000.aif	f20p		5.16	2.73	
12	1	1	686.469500000	686.973000000	10.0	25.8		NOPP6_EST_20090415_070000.aif	f20p		8.0	2.67	
13	1	1	701.494000000	701.919500000	10.0	28.2		NOPP6_EST_20090415_070000.aif	f20p		4.68	1.53	
14	1	1	707.581000000	708.271000000	14.5	24.6		NOPP6_EST_20090415_070000.aif	f20p		1.51	2.63	
15	1	1	716.180500000	716.634000000	10.0	26.5		NOPP6_EST_20090415_070000.aif	f20p		2.62	2.2	
16	1	1	731.354000000	731.823500000	10.0	27.7		NOPP6_EST_20090415_070000.aif	f20p		5.27	1.65	
17	1	1	737.498500000	738.392500000	15.7	23.5		NOPP6_EST_20090415_070000.aif	f20p		1.62	1.91	
18	1	1	746.456000000	746.920500000	10.0	25.8		NOPP6_EST_20090415_070000.aif	f20p		1.91	2.04	
19	1	1	767.664000000	768.583000000	16.3	22.9		NOPP6_EST_20090415_070000.aif	f20p		6.39	2.49	
20	1	1	783.183000000	784.100500000	15.3	22.9		NOPP6_EST_20090415_070000.aif	f20p		4.42	3.24	
21	1	1	798.248000000	799.162000000	15.3	23.0		NOPP6_EST_20090415_070000.aif	f20p		5.25	2.25	
22	1	1	813.580500000	814.738000000	15.6	22.5		NOPP6_EST_20090415_070000.aif	f20p		4.73	2.33	
23	1	1	829.102500000	830.116000000	15.8	22.7		NOPP6_EST_20090415_070000.aif	f20p		4.91	2.5	
24	1	1	859.470000000	860.523000000	15.6	22.5		NOPP6_EST_20090415_070000.aif	f20p		8.0	2.9	
25	1	1	874.772000000	875.838500000	15.6	22.5		NOPP6_EST_20090415_070000.aif	f20p		5.25	2.21	
26	1	2	230.380000000	231.060000000	13.2	23.5		NOPP6_EST_20090415_070000.aif	f20p		8.0	2.79	
27	1	2	245.612000000	246.403500000	15.2	24.0		NOPP6_EST_20090415_070000.aif	f20p		5.09	2.14	
28	1	2	260.817000000	261.647000000	15.7	24.1		NOPP6_EST_20090415_070000.aif	f20p		4.28	2.29	
29	1	2	634.224500000	634.600500000	10.0	29.3		NOPP6_EST_20090415_070000.aif	f20p		8.0	2.28	
30	1	2	681.360500000	681.695500000	10.0	29.9		NOPP6_EST_20090415_070000.aif	f20p		8.0	2.19	
31	1	2	696.368500000	696.699500000	10.0	30.2		NOPP6_EST_20090415_070000.aif	f20p		4.56	2.39	
32	1	2	711.039000000	711.401500000	10.0	30.3		NOPP6_EST_20090415_070000.aif	f20p		4.31	2.34	
33	1	2	723.837500000	724.267500000	10.0	27.9		NOPP6_EST_20090415_070000.aif	f20p		3.77	0.67	
34	1	2	726.256500000	726.579500000	10.0	31.0		NOPP6_EST_20090415_070000.aif	f20p		0.67	2.86	
35	1	2	739.145500000	739.717500000	10.0	26.2		NOPP6_EST_20090415_070000.aif	f20p		4.34	2.6	
36	1	2	754.337000000	754.858000000	10.0	26.9		NOPP6_EST_20090415_070000.aif	f20p		4.55	2.43	
37	1	2	769.351000000	769.819000000	10.0	27.8		NOPP6_EST_20090415_070000.aif	f20p		4.63	2.18	
38	1	3	3.348500000	3.577500000	        10.0	30.6		NOPP6_EST_20090415_070000.aif	f20p		1.03	2.31	
39	1	3	67.972000000	68.350000000	10.0	23.8		NOPP6_EST_20090415_070000.aif	f20p		8.0	1.41	
40	1	3	107.745500000	108.100000000	10.0	25.4		NOPP6_EST_20090415_070000.aif	f20p		6.18	1.08	
41	1	3	125.989000000	126.431500000	10.0	22.6		NOPP6_EST_20090415_070000.aif	f20p		2.93	0.1	
42	1	3	127.736000000	127.987500000	10.0	27.8		NOPP6_EST_20090415_070000.aif	f20p		0.1	0.69	
43	1	3	133.493500000	134.664000000	11.7	18.6		NOPP6_EST_20090415_070000.aif	f20p		0.69	1.38	
44	1	3	144.717500000	145.175000000	10.0	21.9		NOPP6_EST_20090415_070000.aif	f20p		1.46	0.63	
45	1	3	150.204000000	150.454000000	10.0	28.0		NOPP6_EST_20090415_070000.aif	f20p		0.65	1.43	
46	1	3	174.610500000	174.934000000	10.0	27.8		NOPP6_EST_20090415_070000.aif	f20p		5.29	1.87	
47	1	3	207.692000000	207.916000000	10.0	31.2		NOPP6_EST_20090415_070000.aif	f20p		8.0	2.3	
48	1	3	241.848000000	242.064500000	10.0	32.3		NOPP6_EST_20090415_070000.aif	f20p		7.26	2.44	
49	1	3	318.661000000	319.125000000	10.0	21.6		NOPP6_EST_20090415_070000.aif	f20p		8.0	1.2	
50	1	3	693.629000000	693.964000000	10.0	29.9		NOPP6_EST_20090415_070000.aif	f20p		8.0	4.34	
51	1	5	247.820500000	248.433000000	14.7	24.5		NOPP6_EST_20090415_070000.aif	f20p		8.0	2.99	
52	1	5	263.094500000	263.531500000	10.0	27.5		NOPP6_EST_20090415_070000.aif	f20p		5.85	1.87	
53	1	5	284.451000000	284.925500000	12.6	35.0		NOPP6_EST_20090415_070000.aif	f20p		5.93	3.02	
54	1	5	527.123000000	527.472000000	10.0	28.7		NOPP6_EST_20090415_070000.aif	f20p		8.0	2.57	
55	1	5	542.389000000	542.994500000	13.2	24.8		NOPP6_EST_20090415_070000.aif	f20p		4.99	2.34	
56	1	5	557.708500000	558.199500000	10.0	26.5		NOPP6_EST_20090415_070000.aif	f20p		4.39	1.75	
57	1	5	572.974500000	573.459000000	10.0	26.8		NOPP6_EST_20090415_070000.aif	f20p		3.78	2.02	
58	1	5	588.610000000	588.869500000	10.0	34.7		NOPP6_EST_20090415_070000.aif	f20p		3.91	2.32	
59	1	5	703.343000000	703.805000000	13.0	28.1		NOPP6_EST_20090415_070000.aif	f20p		8.0	2.86	
60	1	5	718.016500000	718.544500000	10.0	26.5		NOPP6_EST_20090415_070000.aif	f20p		5.16	3.41	
61	1	5	733.318000000	734.017000000	14.3	24.3		NOPP6_EST_20090415_070000.aif	f20p		5.31	3.23	
62	1	5	748.536500000	749.282500000	14.7	24.1		NOPP6_EST_20090415_070000.aif	f20p		5.52	2.69	
63	1	5	763.472000000	764.274500000	15.0	23.7		NOPP6_EST_20090415_070000.aif	f20p		4.97	2.21	
64	1	5	772.867000000	773.119500000	10.0	31.7		NOPP6_EST_20090415_070000.aif	f20p		2.33	1.83	
65	1	5	779.227000000	779.674000000	10.0	26.8		NOPP6_EST_20090415_070000.aif	f20p		1.83	2.86	
66	1	5	794.433000000	794.686000000	10.0	35.0		NOPP6_EST_20090415_070000.aif	f20p		5.0	2.52	
67	1	5	824.998000000	825.519000000	10.0	26.9		NOPP6_EST_20090415_070000.aif	f20p		8.0	2.46	
68	1	5	840.093500000	840.790500000	14.3	34.4		NOPP6_EST_20090415_070000.aif	f20p		5.41	2.04	
69	1	5	855.362000000	856.241500000	15.9	23.9		NOPP6_EST_20090415_070000.aif	f20p		4.49	3.44	
70	1	5	870.892000000	871.342500000	10.0	26.6		NOPP6_EST_20090415_070000.aif	f20p		5.73	2.26	
71	1	6	178.016500000	178.249500000	10.0	35.0		NOPP6_EST_20090415_070000.aif	f20p		8.0	2.57	
72	1	6	249.744000000	249.954000000	10.0	33.3		NOPP6_EST_20090415_070000.aif	f20p		8.0	1.96	
73	1	6	261.771500000	262.098500000	10.0	30.6		NOPP6_EST_20090415_070000.aif	f20p		2.88	2.97	
